University,Major/Programme,Requirements (A-level),GPA
University of Waterloo,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Business/Commerce,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": ""N/A""}"
University of Waterloo,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Generally high marks in sciences"", ""min_grade"": ""-""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": ""N/A""}"
University of Waterloo,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Waterloo,Environmental Science,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of British Columbia,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Business/Commerce,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Psychology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
University of British Columbia,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.7}"
McGill University,Computer Science,"{""min_subjects"": 4, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Mechanical Engineering,"{""min_subjects"": 4, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Business/Commerce,"{""min_subjects"": 4, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Life Sciences/Biology,"{""min_subjects"": 4, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Health Sciences/Pre-Med,"{""min_subjects"": 4, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Psychology,"{""min_subjects"": 4, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Economics,"{""min_subjects"": 4, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Political Science/International Relations,"{""min_subjects"": 4, ""required"": [], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Mathematics/Statistics,"{""min_subjects"": 4, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
McGill University,Environmental Science,"{""min_subjects"": 4, ""required"": [{""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAAA""}","{""scale"": ""4.0"", ""minimum"": 3.8}"
Western University,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""B""}, {""subject"": ""Science"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""B""}, {""subject"": ""Physics"", ""min_grade"": ""B""}, {""subject"": ""Chemistry"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Business/Commerce,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""B""}, {""subject"": ""Chemistry"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""B""}, {""subject"": ""Mathematics"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Western University,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""B""}, {""subject"": ""Chemistry"", ""min_grade"": ""B""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Queen's University,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Business/Commerce,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
Queen's University,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
University of Alberta,Computer Science,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Science"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Alberta,Mechanical Engineering,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
University of Alberta,Business/Commerce,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Alberta,Life Sciences (Biology),"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Alberta,Health Sciences (Pre-Med),"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Alberta,Psychology,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""B""}, {""subject"": ""Biology or Psychology"", ""min_grade"": ""B""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Alberta,Economics,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Alberta,Political Science / International Relations,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Social Studies"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Alberta,Mathematics / Statistics,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
University of Alberta,Environmental Science,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology or Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Toronto,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
University of Toronto,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Toronto,Commerce (Rotman),"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Toronto,Life Sciences (Biology),"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Toronto,Health Sciences (Pre-Med),"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Toronto,Psychology,"{""min_subjects"": 3, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Toronto,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Toronto,Political Science / International Relations,"{""min_subjects"": 3, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Toronto,Mathematics / Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Toronto,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics or Science"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
Université de Montréal,Informatique (Computer Science),"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.5}"
Université de Montréal,Génie Mécanique,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.7}"
Université de Montréal,Commerce,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.9}"
Université de Montréal,Sciences de la Vie (Biology),"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Université de Montréal,Sciences de la Santé (Pré-Médecine),"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 3.4}"
