University,Major/Programme,Requirements (A-level),GPA
Université de Montréal,Psychologie,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.8}"
Université de Montréal,Économie,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Université de Montréal,Science politique / Relations internationales,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.8}"
Université de Montréal,Mathématiques / Statistiques,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Université de Montréal,Sciences de l'environnement,"{""min_subjects"": 0, ""required"": [{""subject"": ""No specific A-level requirements"", ""min_grade"": ""-""}], ""overall_band"": ""-""}","{""scale"": ""4.0"", ""minimum"": 2.9}"
McMaster University,Computer Science,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Calculus (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
McMaster University,Mechanical Engineering,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Calculus (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
McMaster University,Commerce,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Advanced Functions (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
McMaster University,Life Sciences (Biology),"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Biology (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
McMaster University,Health Sciences (Life & Health Sci),"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Biology (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
McMaster University,Psychology,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
McMaster University,Economics,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
McMaster University,Political Science / International Relations,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
McMaster University,Mathematics / Statistics,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Advanced Functions (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
McMaster University,Environmental Science,"{""min_subjects"": 6, ""required"": [{""subject"": ""English (4U)"", ""min_grade"": ""A""}, {""subject"": ""Biology (4U)"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Calgary,Computer Science,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Science"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
University of Calgary,Mechanical Engineering,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Calgary,Commerce,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Calgary,Life Sciences (Biology),"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.3}"
University of Calgary,Health Sciences,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Calgary,Psychology,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Calgary,Economics,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Calgary,Political Science / International Relations,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Social Studies"", ""min_grade"": ""A""}], ""overall_band"": ""ABB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Calgary,Mathematics / Statistics,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""AAA""}","{""scale"": ""4.0"", ""minimum"": 3.5}"
University of Calgary,Environmental Science,"{""min_subjects"": 5, ""required"": [{""subject"": ""English"", ""min_grade"": ""A""}, {""subject"": ""Biology or Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""AAB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Computer Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Mechanical Engineering,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Business/Commerce,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Life Sciences/Biology,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Health Sciences/Pre-Med,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Psychology,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Economics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Political Science/International Relations,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Mathematics/Statistics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Ottawa,Environmental Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BB""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Simon Fraser University,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Business/Commerce,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Victoria,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Business/Commerce,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Computer Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Mechanical Engineering,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Business/Commerce,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Life Sciences/Biology,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Health Sciences/Pre-Med,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Psychology,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Economics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Political Science/International Relations,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Mathematics/Statistics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Environmental Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Computer Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Mechanical Engineering,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Business/Commerce,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Life Sciences/Biology,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Health Sciences/Pre-Med,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Psychology,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Economics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Political Science/International Relations,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Mathematics/Statistics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Environmental Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
